id,province,provinceEn,district,districtEn,subdistrict,subdistrictEn,postalCode,provinceSlug,districtSlug,subdistrictSlug
79,กรุงเทพมหานคร,Bangkok,ดอนเมือง,Don Mueang,สนามบิน,Sanam Bin,10210,bangkok,don-mueang,sanam-bin
80,กรุงเทพมหานคร,Bangkok,ดอนเมือง,Don Mueang,สีกัน,Si Kan,10210,bangkok,don-mueang,si-kan
81,กรุงเทพมหานคร,Bangkok,ดินแดง,Din Daeng,ดินแดง,Din Daeng,10400,bangkok,din-daeng,din-daeng
82,กรุงเทพมหานคร,Bangkok,ดินแดง,Din Daeng,รัชดาภิเษก,Ratchadaphisek,10400,bangkok,din-daeng,ratchadaphisek
83,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,ดุสิต,Dusit,10300,bangkok,dusit,dusit
84,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,ถนนนครไชยศรี,Thanon Nakhon Chai Si,10300,bangkok,dusit,thanon-nakhon-chai-si
85,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,วชิรพยาบาล,Wachira Phayaban,10300,bangkok,dusit,wachira-phayaban
86,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,สวนจิตรลดา,Suan Chitlada,10300,bangkok,dusit,suan-chitlada
87,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,สวนจิตรลดา,Suan Chitlada,10303,bangkok,dusit,suan-chitlada
88,กรุงเทพมหานคร,Bangkok,ดุสิต,Dusit,สี่แยกมหานาค,Si Yaek Mahanak,10300,bangkok,dusit,si-yaek-mahanak
89,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,คลองชักพระ,Khlong Chak Phra,10170,bangkok,taling-chan,khlong-chak-phra
90,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,ฉิมพลี,Chimphli,10170,bangkok,taling-chan,chimphli
91,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,ตลิ่งชัน,Taling Chan,10170,bangkok,taling-chan,taling-chan
92,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,บางเชือกหนัง,Bang Chueak Nang,10170,bangkok,taling-chan,bang-chueak-nang
93,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,บางพรม,Bang Phrom,10170,bangkok,taling-chan,bang-phrom
94,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,Taling Chan,บางระมาด,Bang Ramat,10170,bangkok,taling-chan,bang-ramat
95,กรุงเทพมหานคร,Bangkok,ทวีวัฒนา,Thawi Watthana,ทวีวัฒนา,Thawi Watthana,10170,bangkok,thawi-watthana,thawi-watthana
96,กรุงเทพมหานคร,Bangkok,ทวีวัฒนา,Thawi Watthana,ศาลาธรรมสพน์,Sala Thammasop,10170,bangkok,thawi-watthana,sala-thammasop
97,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,Thung Khru,ทุ่งครุ,Thung Khru,10140,bangkok,thung-khru,thung-khru
98,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,Thung Khru,บางมด,Bang Mot,10140,bangkok,thung-khru,bang-mot
99,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,ดาวคะนอง,Dao Khanong,10600,bangkok,thon-buri,dao-khanong
100,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,ตลาดพลู,Talat Phlu,10600,bangkok,thon-buri,talat-phlu
101,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,บางยี่เรือ,Bang Yi Ruea,10600,bangkok,thon-buri,bang-yi-ruea
102,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,บุคคโล,Bukkhalo,10600,bangkok,thon-buri,bukkhalo
103,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,วัดกัลยาณ์,Wat Kanlaya,10600,bangkok,thon-buri,wat-kanlaya
104,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,สำเหร่,Samre,10600,bangkok,thon-buri,samre
105,กรุงเทพมหานคร,Bangkok,ธนบุรี,Thon Buri,หิรัญรูจี,Hiran Ruchi,10600,bangkok,thon-buri,hiran-ruchi
106,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,Bangkok Noi,บางขุนนนท์,Bang Khun Non,10700,bangkok,bangkok-noi,bang-khun-non
107,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,Bangkok Noi,บางขุนศรี,Bang Khun Si,10700,bangkok,bangkok-noi,bang-khun-si
108,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,Bangkok Noi,บ้านช่างหล่อ,Ban Chang Lo,10700,bangkok,bangkok-noi,ban-chang-lo
109,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,Bangkok Noi,ศิริราช,Sirirat,10700,bangkok,bangkok-noi,sirirat
