id	districtId	name	nameEn	slug
6867	859	แสวงหา	Sawaeng Ha	sawaeng-ha
6868	859	ห้วยไผ่	Huai Phai	huai-phai
6869	860	คำเขื่อนแก้ว	Kham Khuean Kaeo	kham-khuean-kaeo
6870	860	โคกก่ง	Khok Kong	khok-kong
6871	860	โคกสาร	Khok San	khok-san
6872	860	ชานุมาน	Chanuman	chanuman
6873	860	ป่าก่อ	Pa Ko	pa-ko
6874	861	คำโพน	Kham Phon	kham-phon
6875	861	นาป่าแซง	Na Pa Saeng	na-pa-saeng
6876	861	นาหว้า	Na Wa	na-wa
6877	861	โนนงาม	Non Ngam	non-ngam
6878	861	ลือ	Lue	lue
6879	861	หนองข่า	Nong Kha	nong-kha
6880	861	ห้วย	Huai	huai
6881	862	จานลาน	Chan Lan	chan-lan
6882	862	พนา	Phana	phana
6883	862	พระเหลา	Phra Lao	phra-lao
6884	862	ไม้กลอน	Mai Klon	mai-klon
6885	863	กุดปลาดุก	Kut Pla Duk	kut-pla-duk
6886	863	ไก่คำ	Kai Kham	kai-kham
6887	863	คึมใหญ่	Khuem Yai	khuem-yai
6888	863	ดอนเมย	Don Moei	don-moei
6889	863	นาจิก	Na Chik	na-chik
6890	863	นาแต้	Na Tae	na-tae
6891	863	นาผือ	Na Phue	na-phue
6892	863	นายม	Na Yom	na-yom
6893	863	นาวัง	Na Wang	na-wang
6894	863	นาหมอม้า	Na Mo Ma	na-mo-ma
6895	863	น้ำปลีก	Nam Plik	nam-plik
6896	863	โนนโพธิ์	Non Pho	non-pho
6897	863	โนนหนามแท่ง	Non Nam Thaeng	non-nam-thaeng
6898	863	บุ่ง	Bung	bung
6899	863	ปลาค้าว	Pla Khao	pla-khao
6900	863	สร้างนกทา	Sang Nok Tha	sang-nok-tha
6901	863	หนองมะแซว	Nong Masaeo	nong-masaeo
6902	863	ห้วยไร่	Huai Rai	huai-rai
6903	863	เหล่าพรวน	Lao Phruan	lao-phruan
6904	864	โคกกลาง	Khok Klang	khok-klang
6905	864	ดงบัง	Dong Bang	dong-bang
6906	864	ดงมะยาง	Dong Mayang	dong-mayang
6907	864	เปือย	Pueai	pueai
6908	864	แมด	Maet	maet
6909	864	ไร่ขี	Rai Khi	rai-khi
6910	864	อำนาจ	amnat	amnat
6911	865	นาเวียง	Na Wiang	na-wiang
6912	865	โพนทอง	Phon Thong	phon-thong
6913	865	ไร่สีสุก	Rai Si Suk	rai-si-suk
6914	865	เสนางคนิคม	Senangkhanikhom	senangkhanikhom
6915	865	หนองสามสี	Nong Sam Si	nong-sam-si
6916	865	หนองไฮ	Nong Hai	nong-hai
6917	866	คำพระ	Kham Phra	kham-phra
6918	866	เค็งใหญ่	Kheng Yai	kheng-yai
6919	866	จิกดู่	Chik Du	chik-du
6920	866	โพนเมืองน้อย	Phon Mueang Noi	phon-mueang-noi
6921	866	รัตนวารี	Rattanawari	rattanawari
6922	866	สร้างถ่อน้อย	Sang Tho Noi	sang-tho-noi
6923	866	หนองแก้ว	Nong Kaeo	nong-kaeo
6924	866	หัวตะพาน	Hua Taphan	hua-taphan
6925	867	กุดจับ	Kut Chap	kut-chap
6926	867	ขอนยูง	Khon Yung	khon-yung
6927	867	เชียงเพ็ง	Chiang Pheng	chiang-pheng
6928	867	ตาลเลียน	Tan Lian	tan-lian
6929	867	ปะโค	Pa Kho	pa-kho
6930	867	เมืองเพีย	Mueang Phia	mueang-phia
6931	867	สร้างก่อ	Sang Ko	sang-ko
6932	868	กุมภวาปี	Kumphawapi	kumphawapi
6933	868	เชียงแหว	Chiang Wae	chiang-wae
6934	868	แชแล	Chaelae	chaelae
6935	868	ตูมใต้	Tum Tai	tum-tai
6936	868	ท่าลี่	Tha Li	tha-li
6937	868	ปะโค	Pakho	pakho
6938	868	ผาสุก	Pha Suk	pha-suk
6939	868	พันดอน	Phan Don	phan-don
6940	868	เวียงคำ	Wiang Kham	wiang-kham
6941	868	สีออ	Si O	si-o
6942	868	เสอเพลอ	Soephloe	soephloe
6943	868	หนองหว้า	Nong Wa	nong-wa
6944	868	ห้วยเกิ้ง	Huai Koeng	huai-koeng
6945	869	คอนสาย	Khon Sai	khon-sai
6946	869	ค้อใหญ่	Kho Yai	kho-yai
6947	869	โนนทองอินทร์	Non Thong In	non-thong-in
6948	869	บ้านจีต	Ban Chit	ban-chit
6949	870	คำเลาะ	Kham Lo	kham-lo
6950	870	ไชยวาน	Chai Wan	chai-wan
6951	870	โพนสูง	Phon Sung	phon-sung
6952	870	หนองหลัก	Nong Lak	nong-lak
6953	871	ทุ่งฝน	Thung Fon	thung-fon
6954	871	ทุ่งใหญ่	Thung Yai	thung-yai
6955	871	นาชุมแสง	Na Chum Saeng	na-chum-saeng
6956	871	นาทม	Na Thom	na-thom
6957	872	นาแค	Na Khae	na-khae
6958	872	นายูง	Na Yung	na-yung
6959	872	โนนทอง	Non Thong	non-thong
6960	872	บ้านก้อง	Ban Kong	ban-kong
6961	873	นางัว	Na Ngua	na-ngua
6962	873	น้ำโสม	Nam Som	nam-som
6963	873	บ้านหยวก	Ban Yuak	ban-yuak
6964	873	ศรีสำราญ	Si Samran	si-samran
6965	873	สามัคคี	Samakkhi	samakkhi
6966	873	โสมเยี่ยม	Som Yiam	som-yiam
6967	873	หนองแวง	Nong Waeng	nong-waeng
6968	874	โคกกลาง	Khok Klang	khok-klang
