id,provinceId,name,slug
201,13,แม่ฟ้าหลวง,แม่ฟ้าหลวง
202,13,แม่ลาว,แม่ลาว
203,13,แม่สรวย,แม่สรวย
204,13,แม่สาย,แม่สาย
205,13,เวียงแก่น,เวียงแก่น
206,13,เวียงชัย,เวียงชัย
207,13,เวียงเชียงรุ้ง,เวียงเชียงรุ้ง
208,13,เวียงป่าเป้า,เวียงป่าเป้า
209,14,กัลยาณิวัฒนา,กัลยาณิวัฒนา
210,14,จอมทอง,จอมทอง
211,14,เชียงดาว,เชียงดาว
212,14,ไชยปราการ,ไชยปราการ
213,14,ดอยเต่า,ดอยเต่า
214,14,ดอยสะเก็ด,ดอยสะเก็ด
215,14,ดอยหล่อ,ดอยหล่อ
216,14,ฝาง,ฝาง
217,14,พร้าว,พร้าว
218,14,เมืองเชียงใหม่,เมืองเชียงใหม่
219,14,แม่แจ่ม,แม่แจ่ม
220,14,แม่แตง,แม่แตง
221,14,แม่ริม,แม่ริม
222,14,แม่วาง,แม่วาง
223,14,แม่ออน,แม่ออน
224,14,แม่อาย,แม่อาย
225,14,เวียงแหง,เวียงแหง
226,14,สะเมิง,สะเมิง
227,14,สันกำแพง,สันกำแพง
228,14,สันทราย,สันทราย
229,14,สันป่าตอง,สันป่าตอง
230,14,สารภี,สารภี
231,14,หางดง,หางดง
232,14,อมก๋อย,อมก๋อย
233,14,ฮอด,ฮอด
234,15,กันตัง,กันตัง
235,15,นาโยง,นาโยง
236,15,ปะเหลียน,ปะเหลียน
237,15,เมืองตรัง,เมืองตรัง
238,15,ย่านตาขาว,ย่านตาขาว
239,15,รัษฎา,รัษฎา
240,15,วังวิเศษ,วังวิเศษ
241,15,สิเกา,สิเกา
242,15,ห้วยยอด,ห้วยยอด
243,15,หาดสำราญ,หาดสำราญ
244,16,เกาะกูด,เกาะกูด
245,16,เกาะช้าง,เกาะช้าง
246,16,เขาสมิง,เขาสมิง
247,16,คลองใหญ่,คลองใหญ่
248,16,บ่อไร่,บ่อไร่
249,16,เมืองตราด,เมืองตราด
250,16,แหลมงอบ,แหลมงอบ
251,17,ท่าสองยาง,ท่าสองยาง
252,17,บ้านตาก,บ้านตาก
253,17,พบพระ,พบพระ
254,17,เมืองตาก,เมืองตาก
255,17,แม่ระมาด,แม่ระมาด
256,17,แม่สอด,แม่สอด
257,17,วังเจ้า,วังเจ้า
258,17,สามเงา,สามเงา
259,17,อุ้มผาง,อุ้มผาง
260,18,บ้านนา,บ้านนา
261,18,ปากพลี,ปากพลี
262,18,เมืองนครนายก,เมืองนครนายก
263,18,องครักษ์,องครักษ์
264,19,กำแพงแสน,กำแพงแสน
265,19,ดอนตูม,ดอนตูม
266,19,นครชัยศรี,นครชัยศรี
267,19,บางเลน,บางเลน
268,19,พุทธมณฑล,พุทธมณฑล
269,19,เมืองนครปฐม,เมืองนครปฐม
270,19,สามพราน,สามพราน
271,20,ท่าอุเทน,ท่าอุเทน
272,20,ธาตุพนม,ธาตุพนม
273,20,นาแก,นาแก
274,20,นาทม,นาทม
275,20,นาหว้า,นาหว้า
276,20,บ้านแพง,บ้านแพง
277,20,ปลาปาก,ปลาปาก
278,20,โพนสวรรค์,โพนสวรรค์
279,20,เมืองนครพนม,เมืองนครพนม
280,20,เรณูนคร,เรณูนคร
281,20,วังยาง,วังยาง
282,20,ศรีสงคราม,ศรีสงคราม
283,21,แก้งสนามนาง,แก้งสนามนาง
284,21,ขามทะเลสอ,ขามทะเลสอ
285,21,ขามสะแกแสง,ขามสะแกแสง
286,21,คง,คง
287,21,ครบุรี,ครบุรี
288,21,จักราช,จักราช
289,21,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ
290,21,ชุมพวง,ชุมพวง
291,21,โชคชัย,โชคชัย
292,21,ด่านขุนทด,ด่านขุนทด
293,21,เทพารักษ์,เทพารักษ์
294,21,โนนแดง,โนนแดง
295,21,โนนไทย,โนนไทย
296,21,โนนสูง,โนนสูง
297,21,บัวลาย,บัวลาย
298,21,บัวใหญ่,บัวใหญ่
299,21,บ้านเหลื่อม,บ้านเหลื่อม
300,21,ประทาย,ประทาย
301,21,ปักธงชัย,ปักธงชัย
302,21,ปากช่อง,ปากช่อง
303,21,พระทองคำ,พระทองคำ
304,21,พิมาย,พิมาย
305,21,เมืองนครราชสีมา,เมืองนครราชสีมา
306,21,เมืองยาง,เมืองยาง
307,21,ลำทะเมนชัย,ลำทะเมนชัย
308,21,วังน้ำเขียว,วังน้ำเขียว
309,21,สีคิ้ว,สีคิ้ว
310,21,สีดา,สีดา
311,21,สูงเนิน,สูงเนิน
312,21,เสิงสาง,เสิงสาง
313,21,หนองบุญมาก,หนองบุญมาก
314,21,ห้วยแถลง,ห้วยแถลง
315,22,ขนอม,ขนอม
316,22,จุฬาภรณ์,จุฬาภรณ์
317,22,ฉวาง,ฉวาง
318,22,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ
319,22,ชะอวด,ชะอวด
320,22,ช้างกลาง,ช้างกลาง
321,22,เชียรใหญ่,เชียรใหญ่
322,22,ถ้ำพรรณรา,ถ้ำพรรณรา
323,22,ท่าศาลา,ท่าศาลา
324,22,ทุ่งสง,ทุ่งสง
325,22,ทุ่งใหญ่,ทุ่งใหญ่
326,22,นบพิตำ,นบพิตำ
327,22,นาบอน,นาบอน
328,22,บางขัน,บางขัน
329,22,ปากพนัง,ปากพนัง
330,22,พรหมคีรี,พรหมคีรี
331,22,พระพรหม,พระพรหม
332,22,พิปูน,พิปูน
333,22,เมืองนครศรีธรรมราช,เมืองนครศรีธรรมราช
334,22,ร่อนพิบูลย์,ร่อนพิบูลย์
335,22,ลานสกา,ลานสกา
336,22,สิชล,สิชล
337,22,หัวไทร,หัวไทร
338,23,เก้าเลี้ยว,เก้าเลี้ยว
339,23,โกรกพระ,โกรกพระ
340,23,ชุมตาบง,ชุมตาบง
341,23,ชุมแสง,ชุมแสง
342,23,ตากฟ้า,ตากฟ้า
343,23,ตาคลี,ตาคลี
344,23,ท่าตะโก,ท่าตะโก
345,23,บรรพตพิสัย,บรรพตพิสัย
346,23,พยุหะคีรี,พยุหะคีรี
347,23,ไพศาลี,ไพศาลี
348,23,เมืองนครสวรรค์,เมืองนครสวรรค์
349,23,แม่เปิน,แม่เปิน
350,23,แม่วงก์,แม่วงก์
351,23,ลาดยาว,ลาดยาว
352,23,หนองบัว,หนองบัว
353,24,ไทรน้อย,ไทรน้อย
354,24,บางกรวย,บางกรวย
355,24,บางบัวทอง,บางบัวทอง
356,24,บางใหญ่,บางใหญ่
357,24,ปากเกร็ด,ปากเกร็ด
358,24,เมืองนนทบุรี,เมืองนนทบุรี
359,25,จะแนะ,จะแนะ
360,25,เจาะไอร้อง,เจาะไอร้อง
361,25,ตากใบ,ตากใบ
362,25,บาเจาะ,บาเจาะ
363,25,เมืองนราธิวาส,เมืองนราธิวาส
364,25,ยี่งอ,ยี่งอ
365,25,ระแงะ,ระแงะ
366,25,รือเสาะ,รือเสาะ
