id,districtId,name,slug
367,76,ลำชี,ลำชี
368,76,เหล่ากลาง,เหล่ากลาง
369,77,ดงพยุง,ดงพยุง
370,77,ดอนจาน,ดอนจาน
371,77,นาจำปา,นาจำปา
372,77,ม่วงนา,ม่วงนา
373,77,สะอาดไชยศรี,สะอาดไชยศรี
374,78,กุงเก่า,กุงเก่า
375,78,กุดจิก,กุดจิก
376,78,ดงสมบูรณ์,ดงสมบูรณ์
377,78,ท่าคันโท,ท่าคันโท
378,78,นาตาล,นาตาล
379,78,ยางอู้ม,ยางอู้ม
380,79,นาคู,นาคู
381,79,โนนนาจาน,โนนนาจาน
382,79,บ่อแก้ว,บ่อแก้ว
383,79,ภูแล่นช้าง,ภูแล่นช้าง
384,79,สายนาวัง,สายนาวัง
385,80,นามน,นามน
386,80,ยอดแกง,ยอดแกง
387,80,สงเปลือย,สงเปลือย
388,80,หนองบัว,หนองบัว
389,80,หลักเหลี่ยม,หลักเหลี่ยม
390,81,กลางหมื่น,กลางหมื่น
391,81,กาฬสินธุ์,กาฬสินธุ์
392,81,ขมิ้น,ขมิ้น
393,81,เชียงเครือ,เชียงเครือ
394,81,นาจารย์,นาจารย์
395,81,บึงวิชัย,บึงวิชัย
396,81,ไผ่,ไผ่
397,81,โพนทอง,โพนทอง
398,81,ภูดิน,ภูดิน
399,81,ภูปอ,ภูปอ
400,81,ลำคลอง,ลำคลอง
401,81,ลำปาว,ลำปาว
402,81,ลำพาน,ลำพาน
403,81,หนองกุง,หนองกุง
404,81,หลุบ,หลุบ
405,81,ห้วยโพธิ์,ห้วยโพธิ์
406,81,เหนือ,เหนือ
407,82,เขาพระนอน,เขาพระนอน
408,82,คลองขาม,คลองขาม
409,82,ดอนสมบูรณ์,ดอนสมบูรณ์
410,82,นาเชือก,นาเชือก
411,82,นาดี,นาดี
412,82,โนนสูง,โนนสูง
413,82,บัวบาน,บัวบาน
414,82,ยางตลาด,ยางตลาด
415,82,เว่อ,เว่อ
416,82,หนองตอกแป้น,หนองตอกแป้น
417,82,หนองอิเฒ่า,หนองอิเฒ่า
418,82,หัวงัว,หัวงัว
419,82,หัวนาคำ,หัวนาคำ
420,82,อิตื้อ,อิตื้อ
421,82,อุ่มเม่า,อุ่มเม่า
422,83,ร่องคำ,ร่องคำ
423,83,สามัคคี,สามัคคี
424,83,เหล่าอ้อย,เหล่าอ้อย
425,84,แซงบาดาล,แซงบาดาล
426,84,ผาเสวย,ผาเสวย
427,84,มหาไชย,มหาไชย
428,84,ลำห้วยหลัว,ลำห้วยหลัว
429,84,ศรีสมเด็จ,ศรีสมเด็จ
430,84,สมเด็จ,สมเด็จ
431,84,หนองแวง,หนองแวง
432,84,หมูม่น,หมูม่น
